"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.jayan-qv41917.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","jayan"
"Cmdline:","dstat --time --cpu --mem --load --output 2_nodes.csv 2 3000",,,,"Date:","15 Oct 2018 02:16:41 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,
15-10 02:33:12,26.216,2.939,70.719,0.0,0.0,0.125,1.2583354368e+11,25657344.0,2143457280.0,73267654656.0,16.510,15.930,16.500
15-10 02:33:14,27.265,4.048,68.537,0.0,0.0,0.150,1.25836623872e+11,25665536.0,2144161792.0,73263861760.0,16.390,15.920,16.490
15-10 02:33:16,27.162,3.896,68.841,0.0,0.0,0.101,1.25826748416e+11,25673728.0,2144632832.0,73273257984.0,16.390,15.920,16.490
15-10 02:33:18,25.902,4.459,69.464,0.0,0.0,0.175,1.25938896896e+11,25673728.0,2145259520.0,73160482816.0,16.390,15.920,16.490
15-10 02:33:20,23.575,3.707,72.630,0.0,0.0,0.088,1.26153539584e+11,25681920.0,2146152448.0,72944939008.0,15.240,15.690,16.410
15-10 02:33:22,18.260,3.133,78.519,0.0,0.0,0.088,1.26316978176e+11,25681920.0,2146701312.0,72780951552.0,15.240,15.690,16.410
15-10 02:33:24,20.577,2.749,76.499,0.0,0.0,0.175,1.2618031104e+11,25681920.0,2147151872.0,72917168128.0,14.180,15.460,16.330
15-10 02:33:26,24.903,2.675,72.284,0.013,0.0,0.125,1.25850742784e+11,25690112.0,2147151872.0,73246728192.0,14.180,15.460,16.330
15-10 02:33:28,26.980,3.483,69.412,0.0,0.0,0.126,1.258186752e+11,25690112.0,2147586048.0,73278361600.0,14.180,15.460,16.330
15-10 02:33:30,27.847,5.662,66.328,0.0,0.0,0.163,1.25817806848e+11,25690112.0,2148179968.0,73278636032.0,13.120,15.220,16.250
15-10 02:33:32,27.827,3.753,68.294,0.0,0.0,0.126,1.25888106496e+11,25698304.0,2148540416.0,73207967744.0,13.120,15.220,16.250
15-10 02:33:34,24.020,3.909,71.971,0.0,0.0,0.100,1.26041247744e+11,25702400.0,2149216256.0,73054146560.0,12.470,15.050,16.190
15-10 02:33:36,21.663,3.095,75.154,0.0,0.0,0.088,1.26183124992e+11,25702400.0,2149953536.0,72911532032.0,12.470,15.050,16.190
15-10 02:33:38,16.410,4.472,78.968,0.0,0.0,0.150,1.26140370944e+11,25710592.0,2150391808.0,72953839616.0,12.470,15.050,16.190
15-10 02:33:40,24.057,2.616,73.164,0.0,0.0,0.163,1.25809188864e+11,25710592.0,2150391808.0,73285021696.0,15.0,15.530,16.340
15-10 02:33:42,27.284,3.502,69.051,0.0,0.0,0.163,1.25814407168e+11,25710592.0,2150764544.0,73279430656.0,15.0,15.530,16.340
15-10 02:33:44,27.000,3.780,69.070,0.0,0.0,0.150,1.25856141312e+11,25718784.0,2151329792.0,73237123072.0,16.600,15.850,16.440
15-10 02:33:46,26.671,6.008,67.159,0.0,0.0,0.163,1.2597571584e+11,25718784.0,2151956480.0,73116921856.0,16.600,15.850,16.440
15-10 02:33:48,26.071,3.535,70.269,0.0,0.0,0.125,1.2610453504e+11,25718784.0,2152341504.0,72987717632.0,16.600,15.850,16.440
15-10 02:33:50,20.315,2.965,76.645,0.013,0.0,0.063,1.26213066752e+11,25731072.0,2152898560.0,72878616576.0,15.750,15.690,16.380
15-10 02:33:52,18.380,2.888,78.632,0.0,0.0,0.100,1.26338400256e+11,25731072.0,2153472000.0,72752709632.0,15.750,15.690,16.380
15-10 02:33:54,24.813,3.020,72.004,0.0,0.0,0.162,1.26051012608e+11,25731072.0,2154242048.0,73039327232.0,14.650,15.460,16.310
15-10 02:33:56,25.902,3.231,70.704,0.0,0.0,0.163,1.25857923072e+11,25739264.0,2154004480.0,73232646144.0,14.650,15.460,16.310
15-10 02:33:58,27.860,3.264,68.788,0.0,0.0,0.088,1.25855014912e+11,25739264.0,2154631168.0,73234927616.0,14.650,15.460,16.310
15-10 02:34:00,27.124,4.695,68.030,0.0,0.0,0.151,1.25850267648e+11,25739264.0,2155151360.0,73239154688.0,13.630,15.240,16.230
15-10 02:34:02,26.170,3.831,69.837,0.0,0.0,0.162,1.26207721472e+11,25747456.0,2155593728.0,72881250304.0,13.630,15.240,16.230
15-10 02:34:04,20.518,3.655,75.789,0.013,0.0,0.025,1.26354313216e+11,25747456.0,2156216320.0,72734035968.0,17.110,15.930,16.450
15-10 02:34:06,18.298,3.104,78.447,0.0,0.0,0.151,1.26606319616e+11,25747456.0,2156650496.0,72481595392.0,17.110,15.930,16.450
15-10 02:34:08,22.973,2.744,74.171,0.0,0.0,0.112,1.26158721024e+11,25759744.0,2157408256.0,72928423936.0,17.110,15.930,16.450
15-10 02:34:10,25.357,3.469,71.074,0.0,0.0,0.100,1.26063652864e+11,25759744.0,2157256704.0,73023643648.0,19.340,16.410,16.600
15-10 02:34:12,26.901,4.296,68.715,0.0,0.0,0.087,1.26058852352e+11,25759744.0,2157940736.0,73027760128.0,19.340,16.410,16.600
15-10 02:34:14,27.204,3.753,68.917,0.0,0.0,0.126,1.26128381952e+11,25767936.0,2158546944.0,72957616128.0,18.350,16.260,16.550
15-10 02:34:16,24.943,5.399,69.544,0.0,0.0,0.113,1.26379266048e+11,25767936.0,2158964736.0,72706314240.0,18.350,16.260,16.550
15-10 02:34:18,24.035,3.499,72.428,0.0,0.0,0.037,1.26446804992e+11,25767936.0,2159370240.0,72638369792.0,18.350,16.260,16.550
15-10 02:34:20,13.770,2.130,83.974,0.0,0.0,0.125,1.26368608256e+11,25776128.0,2160095232.0,72715833344.0,17.600,16.140,16.510
15-10 02:34:22,24.629,2.501,72.832,0.0,0.0,0.038,1.26054805504e+11,25776128.0,2160095232.0,73029636096.0,17.600,16.140,16.510
15-10 02:34:24,27.760,3.917,68.185,0.0,0.0,0.138,1.2605618176e+11,25776128.0,2160541696.0,73027813376.0,16.750,15.990,16.460
15-10 02:34:26,26.765,5.008,68.101,0.025,0.0,0.101,1.26054162432e+11,25784320.0,2160898048.0,73029468160.0,16.750,15.990,16.460
15-10 02:34:28,27.811,4.085,68.003,0.0,0.0,0.100,1.26124077056e+11,25788416.0,2161451008.0,72958996480.0,16.750,15.990,16.460
15-10 02:34:30,24.025,3.661,72.251,0.0,0.0,0.062,1.26363377664e+11,25788416.0,2161864704.0,72719282176.0,15.570,15.750,16.380
15-10 02:34:32,16.292,3.046,80.574,0.0,0.0,0.087,1.26620332032e+11,25796608.0,2162196480.0,72461987840.0,15.570,15.750,16.380
15-10 02:34:34,21.245,2.001,76.654,0.0,0.0,0.100,1.26416416768e+11,25796608.0,2162966528.0,72665133056.0,14.490,15.520,16.300
15-10 02:34:36,25.511,4.618,69.733,0.0,0.0,0.138,1.26204059648e+11,25796608.0,2162790400.0,72877666304.0,14.490,15.520,16.300
15-10 02:34:38,27.179,4.321,68.387,0.0,0.0,0.113,1.26198321152e+11,25804800.0,2163363840.0,72882823168.0,14.490,15.520,16.300
15-10 02:34:40,26.650,3.864,69.373,0.0,0.0,0.113,1.26196764672e+11,25804800.0,2163990528.0,72883752960.0,13.490,15.300,16.230
15-10 02:34:42,24.693,3.807,71.400,0.0,0.0,0.100,1.2661194752e+11,25804800.0,2164420608.0,72468140032.0,13.490,15.300,16.230
15-10 02:34:44,17.616,2.936,79.385,0.013,0.0,0.050,1.267397632e+11,25812992.0,2164776960.0,72339959808.0,14.810,15.540,16.300
15-10 02:34:46,22.515,2.938,74.422,0.0,0.0,0.125,1.26945865728e+11,25812992.0,2165243904.0,72133390336.0,14.810,15.540,16.300
15-10 02:34:48,24.015,2.691,73.132,0.0,0.0,0.163,1.26722871296e+11,25817088.0,2165239808.0,72356384768.0,14.810,15.540,16.300
15-10 02:34:50,25.980,2.242,71.677,0.0,0.0,0.100,1.2637612032e+11,25825280.0,2165669888.0,72702697472.0,21.070,16.830,16.710
15-10 02:34:52,27.835,4.105,67.922,0.0,0.0,0.138,1.26368985088e+11,25825280.0,2166104064.0,72709398528.0,21.070,16.830,16.710
15-10 02:34:54,27.223,3.466,69.174,0.0,0.0,0.138,1.26219567104e+11,25825280.0,2166497280.0,72858423296.0,20.660,16.820,16.710
15-10 02:34:56,26.845,3.362,69.340,0.327,0.0,0.126,1.26328938496e+11,25833472.0,2167029760.0,72748511232.0,20.660,16.820,16.710
15-10 02:34:58,23.856,3.543,72.450,0.0,0.0,0.151,1.26470107136e+11,25833472.0,2167771136.0,72606601216.0,20.660,16.820,16.710
15-10 02:35:00,16.338,2.702,80.885,0.0,0.0,0.075,1.26578163712e+11,25833472.0,2168147968.0,72498167808.0,19.490,16.640,16.650
15-10 02:35:02,23.581,3.551,72.743,0.0,0.0,0.125,1.26517026816e+11,25841664.0,2168586240.0,72558858240.0,19.490,16.640,16.650
15-10 02:35:04,24.893,3.137,71.857,0.0,0.0,0.113,1.26249795584e+11,25874432.0,2168590336.0,72826052608.0,18.090,16.390,16.570
15-10 02:35:06,25.922,3.097,70.830,0.0,0.0,0.151,1.2620068864e+11,25874432.0,2169024512.0,72874725376.0,18.090,16.390,16.570
15-10 02:35:08,27.707,3.571,68.571,0.0,0.0,0.150,1.26206889984e+11,25874432.0,2169524224.0,72868024320.0,18.090,16.390,16.570
15-10 02:35:10,27.229,6.024,66.595,0.013,0.0,0.138,1.2630853632e+11,25886720.0,2170224640.0,72765665280.0,16.800,16.150,16.490
15-10 02:35:12,22.326,3.086,74.525,0.0,0.0,0.062,1.2665450496e+11,25886720.0,2170949632.0,72418971648.0,16.800,16.150,16.490
15-10 02:35:14,18.060,2.929,78.924,0.013,0.0,0.075,1.26825443328e+11,25894912.0,2171437056.0,72247537664.0,15.610,15.920,16.410
15-10 02:35:16,22.660,2.650,74.589,0.0,0.0,0.100,1.26615355392e+11,25894912.0,2172047360.0,72457015296.0,15.610,15.920,16.410
15-10 02:35:18,24.624,2.597,72.629,0.0,0.0,0.151,1.26202503168e+11,25894912.0,2172047360.0,72869867520.0,15.610,15.920,16.410
15-10 02:35:20,27.584,4.712,67.567,0.0,0.0,0.137,1.26204776448e+11,25903104.0,2172755968.0,72866877440.0,14.760,15.740,16.350
15-10 02:35:22,26.943,3.567,69.366,0.0,0.0,0.125,1.2620433408e+11,25903104.0,2173165568.0,72866910208.0,14.760,15.740,16.350
15-10 02:35:24,26.440,3.931,69.492,0.0,0.0,0.138,1.26558220288e+11,25903104.0,2173644800.0,72512544768.0,17.270,16.240,16.510
15-10 02:35:26,23.031,3.256,73.650,0.0,0.0,0.063,1.26468419584e+11,25915392.0,2174164992.0,72601812992.0,17.270,16.240,16.510
15-10 02:35:28,17.185,2.919,79.784,0.0,0.0,0.113,1.26500990976e+11,25915392.0,2174750720.0,72568655872.0,17.270,16.240,16.510
15-10 02:35:30,23.159,9.949,66.679,0.050,0.0,0.163,1.26500864e+11,25915392.0,2175311872.0,72568221696.0,20.450,16.920,16.730
15-10 02:35:32,25.324,2.680,71.921,0.0,0.0,0.075,1.26239322112e+11,25923584.0,2175311872.0,72829755392.0,20.450,16.920,16.730
15-10 02:35:34,26.178,3.411,70.274,0.0,0.0,0.137,1.26195666944e+11,25923584.0,2175795200.0,72872927232.0,19.130,16.700,16.660
15-10 02:35:36,27.581,4.420,67.887,0.0,0.0,0.112,1.26207148032e+11,25923584.0,2176331776.0,72860909568.0,19.130,16.700,16.660
15-10 02:35:38,26.428,3.624,69.846,0.0,0.0,0.101,1.26307770368e+11,25931776.0,2176741376.0,72759869440.0,19.130,16.700,16.660
15-10 02:35:40,23.414,5.639,70.871,0.0,0.0,0.076,1.26613741568e+11,25931776.0,2177253376.0,72453386240.0,17.760,16.460,16.580
15-10 02:35:42,19.768,4.011,76.146,0.0,0.0,0.075,1.26605520896e+11,25931776.0,2177908736.0,72460951552.0,17.760,16.460,16.580
15-10 02:35:44,19.772,2.719,77.396,0.0,0.0,0.113,1.26557671424e+11,25944064.0,2178310144.0,72508387328.0,16.500,16.220,16.500
15-10 02:35:46,23.988,2.449,73.488,0.0,0.0,0.075,1.26188007424e+11,25944064.0,2178310144.0,72878051328.0,16.500,16.220,16.500
15-10 02:35:48,27.024,3.922,68.917,0.0,0.0,0.138,1.25888724992e+11,25944064.0,2178818048.0,73176825856.0,16.500,16.220,16.500
15-10 02:35:50,26.823,4.166,68.885,0.013,0.0,0.113,1.25737582592e+11,25952256.0,2179284992.0,73327493120.0,20.380,17.030,16.760
15-10 02:35:52,26.821,4.025,69.016,0.0,0.0,0.138,1.25891444736e+11,25952256.0,2179813376.0,73173102592.0,20.380,17.030,16.760
15-10 02:35:54,25.110,6.525,68.189,0.025,0.0,0.151,1.26176509952e+11,25952256.0,2180194304.0,72887656448.0,23.550,17.740,17.0
15-10 02:35:56,20.489,3.180,76.281,0.0,0.0,0.050,1.26226030592e+11,25960448.0,2180636672.0,72837685248.0,23.550,17.740,17.0
15-10 02:35:58,20.868,2.965,76.042,0.0,0.0,0.125,1.26495412224e+11,25960448.0,2181136384.0,72567803904.0,23.550,17.740,17.0
15-10 02:36:00,23.246,2.306,74.361,0.0,0.0,0.088,1.2639223808e+11,25960448.0,2181136384.0,72670978048.0,25.270,18.190,17.150
15-10 02:36:02,25.085,2.368,72.435,0.0,0.0,0.113,1.25995708416e+11,25968640.0,2181545984.0,73067089920.0,25.270,18.190,17.150
15-10 02:36:04,27.356,4.417,68.102,0.0,0.0,0.125,1.259951104e+11,25968640.0,2182135808.0,73067098112.0,27.170,18.710,17.320
15-10 02:36:06,27.428,4.661,67.735,0.0,0.0,0.176,1.26002716672e+11,25972736.0,2182664192.0,73058959360.0,27.170,18.710,17.320
15-10 02:36:08,27.175,3.989,68.686,0.0,0.0,0.150,1.2610848768e+11,25980928.0,2183204864.0,72952639488.0,27.170,18.710,17.320
15-10 02:36:10,25.669,3.963,70.268,0.0,0.0,0.100,1.26230560768e+11,25980928.0,2183798784.0,72829972480.0,25.160,18.430,17.240
15-10 02:36:12,21.074,2.792,76.046,0.0,0.0,0.088,1.26378491904e+11,25980928.0,2184265728.0,72681574400.0,25.160,18.430,17.240
15-10 02:36:14,18.186,2.507,79.207,0.0,0.0,0.100,1.26518734848e+11,25989120.0,2184839168.0,72540749824.0,23.300,18.160,17.150
15-10 02:36:16,23.946,2.610,73.306,0.0,0.0,0.138,1.26072246272e+11,25989120.0,2185613312.0,72986464256.0,23.300,18.160,17.150
15-10 02:36:18,26.052,3.178,70.594,0.0,0.0,0.176,1.2602646528e+11,25989120.0,2185404416.0,73032454144.0,23.300,18.160,17.150
15-10 02:36:20,27.184,4.142,68.524,0.0,0.0,0.151,1.25952290816e+11,25997312.0,2186072064.0,73105952768.0,22.0,17.970,17.100
15-10 02:36:22,27.719,4.298,67.834,0.0,0.0,0.149,1.25953224704e+11,26001408.0,2186711040.0,73104375808.0,22.0,17.970,17.100
15-10 02:36:24,26.274,3.989,69.600,0.0,0.0,0.137,1.2626055168e+11,26001408.0,2187530240.0,72796229632.0,25.920,18.850,17.390
15-10 02:36:26,16.755,2.640,80.556,0.0,0.0,0.050,1.26438834176e+11,26009600.0,2187960320.0,72617508864.0,25.920,18.850,17.390
15-10 02:36:28,20.196,2.570,77.097,0.0,0.0,0.138,1.26391840768e+11,26009600.0,2188541952.0,72663920640.0,25.920,18.850,17.390
15-10 02:36:30,25.949,3.809,70.092,0.0,0.0,0.150,1.26140526592e+11,26009600.0,2188541952.0,72915234816.0,26.330,19.050,17.460
15-10 02:36:32,25.778,3.312,70.760,0.0,0.0,0.151,1.25948338176e+11,26017792.0,2189041664.0,73106915328.0,26.330,19.050,17.460
15-10 02:36:34,27.559,3.425,68.929,0.0,0.0,0.087,1.25950124032e+11,26017792.0,2189611008.0,73104560128.0,24.780,18.850,17.410
15-10 02:36:36,27.758,3.837,68.292,0.0,0.0,0.113,1.25952466944e+11,26017792.0,2190143488.0,73101684736.0,24.780,18.850,17.410
15-10 02:36:38,24.931,3.409,71.509,0.0,0.0,0.151,1.26261424128e+11,26030080.0,2190561280.0,72792297472.0,24.780,18.850,17.410
15-10 02:36:40,16.540,3.243,80.167,0.0,0.0,0.050,1.2665731072e+11,26030080.0,2191089664.0,72395882496.0,23.120,18.610,17.330
15-10 02:36:42,22.736,2.998,74.129,0.0,0.0,0.137,1.26640574464e+11,26030080.0,2191515648.0,72412192768.0,23.120,18.610,17.330
15-10 02:36:44,25.119,2.686,72.069,0.0,0.0,0.126,1.263396864e+11,26038272.0,2192277504.0,72712310784.0,21.420,18.330,17.250
15-10 02:36:46,25.414,2.934,71.565,0.0,0.0,0.088,1.26174715904e+11,26038272.0,2192093184.0,72877465600.0,21.420,18.330,17.250
15-10 02:36:48,28.102,3.611,68.124,0.0,0.0,0.162,1.25878861824e+11,26038272.0,2192461824.0,73172951040.0,21.420,18.330,17.250
15-10 02:36:50,26.954,4.171,68.712,0.0,0.0,0.163,1.25890588672e+11,26046464.0,2192965632.0,73160712192.0,19.790,18.040,17.160
15-10 02:36:52,26.322,3.571,69.957,0.0,0.0,0.150,1.26001446912e+11,26046464.0,2193588224.0,73049231360.0,19.790,18.040,17.160
15-10 02:36:54,24.687,3.496,71.729,0.0,0.0,0.088,1.26158020608e+11,26046464.0,2194006016.0,72892239872.0,18.600,17.830,17.100
15-10 02:36:56,7.355,0.963,91.657,0.0,0.0,0.025,1.259087872e+11,26296320.0,2194882560.0,73140346880.0,18.600,17.830,17.100
15-10 02:36:58,27.029,3.913,68.945,0.0,0.0,0.113,1.258921984e+11,26296320.0,2194665472.0,73157152768.0,18.600,17.830,17.100
15-10 02:37:00,27.053,3.635,69.199,0.0,0.0,0.113,1.25577056256e+11,26300416.0,2195374080.0,73471582208.0,17.830,17.680,17.050
15-10 02:37:02,27.149,4.004,68.432,0.264,0.0,0.151,1.25802962944e+11,26312704.0,2195668992.0,73245368320.0,17.830,17.680,17.050
15-10 02:37:04,25.652,3.369,70.867,0.0,0.0,0.112,1.26044848128e+11,26312704.0,2196049920.0,73003102208.0,20.410,18.210,17.230
15-10 02:37:06,14.946,3.074,81.942,0.0,0.0,0.037,1.26366932992e+11,26320896.0,2196905984.0,72680153088.0,20.410,18.210,17.230
15-10 02:37:08,22.167,4.353,73.305,0.0,0.0,0.175,1.26288228352e+11,26320896.0,2197495808.0,72758267904.0,20.410,18.210,17.230
15-10 02:37:10,25.079,3.165,71.618,0.0,0.0,0.139,1.26123802624e+11,26320896.0,2198265856.0,72921923584.0,22.620,18.710,17.400
15-10 02:37:12,25.937,3.183,70.705,0.013,0.0,0.163,1.26070185984e+11,26329088.0,2198237184.0,72975560704.0,22.620,18.710,17.400
15-10 02:37:14,27.481,3.837,68.520,0.0,0.0,0.162,1.26075613184e+11,26329088.0,2198638592.0,72969732096.0,21.290,18.500,17.340
15-10 02:37:16,26.841,3.782,69.251,0.0,0.0,0.126,1.2607502336e+11,26333184.0,2199142400.0,72969814016.0,21.290,18.500,17.340
15-10 02:37:18,25.209,4.333,70.333,0.0,0.0,0.125,1.2636383232e+11,26341376.0,2200002560.0,72680136704.0,21.290,18.500,17.340
15-10 02:37:20,20.456,3.513,75.956,0.0,0.0,0.075,1.264386048e+11,26341376.0,2200535040.0,72604831744.0,19.740,18.220,17.250
15-10 02:37:22,20.464,3.621,75.752,0.0,0.0,0.162,1.266546688e+11,26341376.0,2201030656.0,72388272128.0,19.740,18.220,17.250
15-10 02:37:24,23.734,3.208,72.895,0.0,0.0,0.163,1.26362632192e+11,26349568.0,2201030656.0,72680300544.0,18.320,17.950,17.170
15-10 02:37:26,24.981,3.340,71.541,0.0,0.0,0.138,1.26069833728e+11,26349568.0,2201395200.0,72972734464.0,18.320,17.950,17.170
15-10 02:37:28,27.027,3.791,69.069,0.0,0.0,0.113,1.26075531264e+11,26349568.0,2201731072.0,72966701056.0,18.320,17.950,17.170
15-10 02:37:30,27.184,7.327,65.376,0.0,0.0,0.113,1.26082564096e+11,26357760.0,2202386432.0,72959004672.0,16.940,17.670,17.080
15-10 02:37:32,26.091,4.351,69.408,0.0,0.0,0.150,1.26457401344e+11,26357760.0,2202791936.0,72583761920.0,16.940,17.670,17.080
15-10 02:37:34,24.250,3.563,72.149,0.0,0.0,0.038,1.262595072e+11,26365952.0,2203131904.0,72781307904.0,15.980,17.460,17.020
15-10 02:37:36,17.218,3.638,79.006,0.0,0.0,0.138,1.2649209856e+11,26370048.0,2203496448.0,72548347904.0,15.980,17.460,17.020
15-10 02:37:38,22.226,2.529,75.106,0.0,0.0,0.138,1.2644042752e+11,26370048.0,2203832320.0,72599683072.0,15.980,17.460,17.020
15-10 02:37:40,25.075,8.396,66.441,0.0,0.0,0.088,1.26091206656e+11,26378240.0,2203824128.0,72948903936.0,18.380,17.940,17.180
15-10 02:37:42,27.457,3.881,68.523,0.0,0.0,0.139,1.2610265088e+11,26378240.0,2204254208.0,72937029632.0,18.380,17.940,17.180
15-10 02:37:44,27.794,4.376,67.667,0.0,0.0,0.163,1.2609900544e+11,26378240.0,2204663808.0,72940265472.0,21.400,18.570,17.380
15-10 02:37:46,26.087,3.527,70.285,0.0,0.0,0.100,1.26396555264e+11,26386432.0,2205126656.0,72642244608.0,21.400,18.570,17.380
15-10 02:37:48,23.771,3.676,72.540,0.0,0.0,0.013,1.26322663424e+11,26386432.0,2205474816.0,72715788288.0,21.400,18.570,17.380
15-10 02:37:50,16.437,3.623,79.840,0.0,0.0,0.100,1.26756196352e+11,26386432.0,2205966336.0,72281763840.0,20.080,18.340,17.320
15-10 02:37:52,22.956,2.626,74.294,0.0,0.0,0.125,1.26337798144e+11,26394624.0,2206732288.0,72699387904.0,20.080,18.340,17.320
15-10 02:37:54,25.891,2.736,71.235,0.0,0.0,0.138,1.2609595392e+11,26394624.0,2206486528.0,72941477888.0,18.630,18.070,17.230
15-10 02:37:56,27.644,3.471,68.747,0.0,0.0,0.138,1.26095327232e+11,26394624.0,2206932992.0,72941658112.0,18.630,18.070,17.230
15-10 02:37:58,27.791,7.858,64.176,0.0,0.0,0.175,1.26096326656e+11,26406912.0,2207453184.0,72940126208.0,18.630,18.070,17.230
15-10 02:38:00,27.200,10.282,62.343,0.013,0.0,0.163,1.259057152e+11,26406912.0,2207834112.0,73130356736.0,17.300,17.800,17.150
15-10 02:38:02,25.900,3.551,70.410,0.0,0.0,0.138,1.26018117632e+11,26406912.0,2208153600.0,73017634816.0,17.300,17.800,17.150
15-10 02:38:04,15.423,3.781,80.759,0.0,0.0,0.037,1.26202568704e+11,26415104.0,2208690176.0,72832638976.0,16.640,17.660,17.110
15-10 02:38:06,20.996,2.761,76.142,0.0,0.0,0.100,1.2611325952e+11,26415104.0,2208690176.0,72921948160.0,16.640,17.660,17.110
15-10 02:38:08,25.445,2.646,71.796,0.0,0.0,0.113,1.25797044224e+11,26415104.0,2209148928.0,73237704704.0,16.640,17.660,17.110
15-10 02:38:10,27.675,3.733,68.454,0.0,0.0,0.138,1.25794545664e+11,26423296.0,2209681408.0,73239662592.0,15.700,17.450,17.040
15-10 02:38:12,27.171,9.182,63.498,0.0,0.0,0.150,1.25784899584e+11,26423296.0,2210209792.0,73248780288.0,15.700,17.450,17.040
15-10 02:38:14,27.944,3.684,68.247,0.0,0.0,0.124,1.2580202496e+11,26431488.0,2210820096.0,73231036416.0,18.770,18.050,17.240
15-10 02:38:16,25.812,3.097,70.927,0.0,0.0,0.164,1.260602368e+11,26431488.0,2211352576.0,72972292096.0,18.770,18.050,17.240
15-10 02:38:18,22.983,3.287,73.667,0.0,0.0,0.063,1.26206357504e+11,26439680.0,2211872768.0,72825643008.0,18.770,18.050,17.240
15-10 02:38:20,17.278,2.867,79.705,0.0,0.0,0.150,1.26347907072e+11,26451968.0,2212401152.0,72683552768.0,17.750,17.850,17.180
15-10 02:38:22,23.498,2.465,73.936,0.0,0.0,0.100,1.26175821824e+11,26451968.0,2213085184.0,72854953984.0,17.750,17.850,17.180
15-10 02:38:24,24.837,3.378,71.710,0.0,0.0,0.075,1.25772914688e+11,26451968.0,2213085184.0,73257861120.0,16.490,17.590,17.100
15-10 02:38:26,28.055,3.790,68.018,0.0,0.0,0.138,1.25777608704e+11,26460160.0,2213613568.0,73252630528.0,16.490,17.590,17.100
15-10 02:38:28,27.701,4.540,67.609,0.0,0.0,0.150,1.25784285184e+11,26460160.0,2213957632.0,73245609984.0,16.490,17.590,17.100
15-10 02:38:30,27.382,4.457,68.023,0.0,0.0,0.137,1.2577978368e+11,26468352.0,2214436864.0,73249624064.0,15.330,17.330,17.020
15-10 02:38:32,23.773,4.669,71.457,0.0,0.0,0.101,1.26111592448e+11,26468352.0,2215030784.0,72917221376.0,15.330,17.330,17.020
15-10 02:38:34,18.495,3.356,78.087,0.0,0.0,0.063,1.262614528e+11,26468352.0,2215559168.0,72766832640.0,14.660,17.160,16.960
15-10 02:38:36,20.210,4.020,75.682,0.0,0.0,0.088,1.25883895808e+11,26480640.0,2215907328.0,73144029184.0,14.660,17.160,16.960
15-10 02:38:38,25.135,3.034,71.681,0.013,0.0,0.138,1.25620150272e+11,26480640.0,2215907328.0,73407774720.0,14.660,17.160,16.960
15-10 02:38:40,28.369,6.744,64.724,0.0,0.0,0.163,1.25621485568e+11,26488832.0,2216501248.0,73405837312.0,17.170,17.640,17.120
15-10 02:38:42,27.393,4.559,67.910,0.0,0.0,0.138,1.25616467968e+11,26488832.0,2216964096.0,73410392064.0,17.170,17.640,17.120
15-10 02:38:44,26.496,3.844,69.534,0.0,0.0,0.125,1.25896425472e+11,26488832.0,2217324544.0,73130074112.0,19.400,18.090,17.270
15-10 02:38:46,22.179,3.949,73.810,0.012,0.0,0.050,1.261696e+11,26497024.0,2218000384.0,72856215552.0,19.400,18.090,17.270
15-10 02:38:48,16.606,3.249,80.045,0.0,0.0,0.100,1.26328578048e+11,26497024.0,2218393600.0,72696844288.0,19.400,18.090,17.270
15-10 02:38:50,24.385,3.487,72.027,0.013,0.0,0.088,1.25972840448e+11,26505216.0,2218393600.0,73052573696.0,19.050,18.040,17.260
15-10 02:38:52,26.398,6.234,67.254,0.0,0.0,0.113,1.25771051008e+11,26505216.0,2218774528.0,73253982208.0,19.050,18.040,17.260
15-10 02:38:54,26.972,4.277,68.663,0.0,0.0,0.088,1.25785554944e+11,26505216.0,2219233280.0,73239019520.0,19.520,18.160,17.300
15-10 02:38:56,8.981,0.725,90.294,0.0,0.0,0.0,1.2552953856e+11,26513408.0,2219626496.0,73494634496.0,19.520,18.160,17.300
15-10 02:38:58,1.850,1.588,96.562,0.0,0.0,0.0,1.08814680064e+11,26513408.0,2219626496.0,90209492992.0,19.520,18.160,17.300
15-10 02:39:00,0.175,2.337,97.487,0.0,0.0,0.0,78969606144.0,26521600.0,2219626496.0,1.2005455872e+11,18.040,17.870,17.210
15-10 02:39:02,0.138,2.375,97.487,0.0,0.0,0.0,49252028416.0,26521600.0,2219626496.0,1.49772136448e+11,18.040,17.870,17.210
15-10 02:39:04,0.150,2.362,97.487,0.0,0.0,0.0,21025398784.0,26521600.0,2219626496.0,1.7799876608e+11,16.680,17.590,17.120
15-10 02:39:06,0.138,1.538,98.325,0.0,0.0,0.0,3472076800.0,26529792.0,2219626496.0,1.95552079872e+11,16.680,17.590,17.120
15-10 02:39:08,0.0,0.013,99.987,0.0,0.0,0.0,3471155200.0,26529792.0,2219626496.0,1.95553001472e+11,16.680,17.590,17.120
15-10 02:39:10,0.0,0.013,99.987,0.0,0.0,0.0,3470143488.0,26529792.0,2219626496.0,1.95554013184e+11,15.340,17.300,17.030
15-10 02:39:12,0.0,0.013,99.987,0.0,0.0,0.0,3469717504.0,26537984.0,2219618304.0,1.95554439168e+11,15.340,17.300,17.030
